angle   observable
1.0         .93649D+01
2.0         .92359D+01
3.0         .91781D+01
4.0         .91187D+01
5.0         .90496D+01
6.0         .89695D+01
7.0         .88790D+01
8.0         .87789D+01
9.0         .86704D+01
10.0        .85548D+01
11.0        .84333D+01
12.0        .83070D+01
13.0        .81771D+01
14.0        .80445D+01
15.0        .79100D+01
16.0        .77744D+01
17.0        .76383D+01
18.0        .75022D+01
19.0        .73664D+01
20.0        .72314D+01
21.0        .70972D+01
22.0        .69640D+01
23.0        .68320D+01
24.0        .67013D+01
25.0        .65718D+01
26.0        .64436D+01
27.0        .63166D+01
28.0        .61910D+01
29.0        .60666D+01
30.0        .59435D+01
31.0        .58217D+01
32.0        .57011D+01
33.0        .55818D+01
34.0        .54638D+01
35.0        .53472D+01
36.0        .52319D+01
37.0        .51180D+01
38.0        .50056D+01
39.0        .48947D+01
40.0        .47854D+01
41.0        .46777D+01
42.0        .45717D+01
43.0        .44675D+01
44.0        .43651D+01
45.0        .42646D+01
46.0        .41661D+01
47.0        .40696D+01
48.0        .39753D+01
49.0        .38830D+01
50.0        .37931D+01
51.0        .37054D+01
52.0        .36200D+01
53.0        .35371D+01
54.0        .34566D+01
55.0        .33786D+01
56.0        .33031D+01
57.0        .32303D+01
58.0        .31600D+01
59.0        .30924D+01
60.0        .30275D+01
61.0        .29653D+01
62.0        .29058D+01
63.0        .28491D+01
64.0        .27952D+01
65.0        .27441D+01
66.0        .26958D+01
67.0        .26503D+01
68.0        .26077D+01
69.0        .25679D+01
70.0        .25310D+01
71.0        .24970D+01
72.0        .24658D+01
73.0        .24375D+01
74.0        .24122D+01
75.0        .23897D+01
76.0        .23700D+01
77.0        .23533D+01
78.0        .23395D+01
79.0        .23285D+01
80.0        .23204D+01
81.0        .23152D+01
82.0        .23129D+01
83.0        .23134D+01
84.0        .23168D+01
85.0        .23231D+01
86.0        .23322D+01
87.0        .23441D+01
88.0        .23588D+01
89.0        .23764D+01
90.0        .23968D+01
91.0        .24199D+01
92.0        .24458D+01
93.0        .24745D+01
94.0        .25059D+01
95.0        .25401D+01
96.0        .25769D+01
97.0        .26164D+01
98.0        .26586D+01
99.0        .27033D+01
100.0       .27507D+01
101.0       .28006D+01
102.0       .28530D+01
103.0       .29079D+01
104.0       .29653D+01
105.0       .30250D+01
106.0       .30872D+01
107.0       .31516D+01
108.0       .32182D+01
109.0       .32871D+01
110.0       .33581D+01
111.0       .34312D+01
112.0       .35063D+01
113.0       .35833D+01
114.0       .36622D+01
115.0       .37429D+01
116.0       .38253D+01
117.0       .39094D+01
118.0       .39949D+01
119.0       .40820D+01
120.0       .41704D+01
121.0       .42601D+01
122.0       .43510D+01
123.0       .44430D+01
124.0       .45360D+01
125.0       .46299D+01
126.0       .47246D+01
127.0       .48201D+01
128.0       .49163D+01
129.0       .50130D+01
130.0       .51103D+01
131.0       .52080D+01
132.0       .53062D+01
133.0       .54047D+01
134.0       .55036D+01
135.0       .56029D+01
136.0       .57025D+01
137.0       .58026D+01
138.0       .59032D+01
139.0       .60045D+01
140.0       .61065D+01
141.0       .62094D+01
142.0       .63134D+01
143.0       .64189D+01
144.0       .65261D+01
145.0       .66354D+01
146.0       .67472D+01
147.0       .68619D+01
148.0       .69802D+01
149.0       .71024D+01
150.0       .72294D+01
151.0       .73617D+01
152.0       .75001D+01
153.0       .76452D+01
154.0       .77979D+01
155.0       .79588D+01
156.0       .81288D+01
157.0       .83084D+01
158.0       .84982D+01
159.0       .86987D+01
160.0       .89103D+01
161.0       .91329D+01
162.0       .93664D+01
163.0       .96104D+01
164.0       .98641D+01
165.0       .10126D+02
166.0       .10395D+02
167.0       .10669D+02
168.0       .10944D+02
169.0       .11219D+02
170.0       .11490D+02
171.0       .11753D+02
172.0       .12004D+02
173.0       .12238D+02
174.0       .12452D+02
175.0       .12642D+02
176.0       .12803D+02
177.0       .12932D+02
178.0       .13026D+02
179.0       .13084D+02
180.0       .13103D+02
